id,producent_id,hodnota,jednotka,uroven,zdroj,poznamka
105,428,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
106,429,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
107,430,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
108,431,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
109,432,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
110,433,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
111,435,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
112,437,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
113,472,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
114,474,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
115,498,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
116,499,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
117,518,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
118,519,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
119,520,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
120,521,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
121,534,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
122,545,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
123,562,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
124,563,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
125,564,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
126,565,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
127,566,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
128,567,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
129,568,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
130,569,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
131,570,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
132,571,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
133,572,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
134,573,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
135,574,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
136,575,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
137,577,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
138,578,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
139,579,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
140,580,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
141,581,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
142,582,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
143,583,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
144,584,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
145,585,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
146,586,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
147,587,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
148,588,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
149,589,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
150,590,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
151,591,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
152,592,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
153,593,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
154,594,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
155,595,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
156,596,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
157,597,226.0,stravník,typova,Odvodené z typovej kapacity ZŠ (CVTI SR 2021/22),Samostatne zapísaná školská jedáleň spravidla obsluhuje jednu ZŠ.
158,598,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
159,599,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
160,600,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
161,601,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
162,602,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
163,603,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
164,604,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
165,605,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
166,606,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
167,607,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
168,608,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
169,609,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
