ico,nazov,obec,okres,kraj,sektor,typ_nazov,kapacita,kapacita_jednotka,kapacita_uroven,odpad,katalogove_cislo_navrh,t_rok_min,t_rok_stred,t_rok_max
35995904,"Základná škola Jana Amosa Komenského, Komenského 652/50, Púchov",Púchov,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36063959,"Základná škola Albína Brunovského, Obchodná ulica 7, Zohor",Zohor,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36077739,"Špecializovaná nemocnica pre ortopedickú protetiku Bratislava, n.o.",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36083895,Nemocnica Piešťany n.f.,Piešťany,Piešťany,Trnavský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36090212,"Základná škola s materskou školou, Osloboditeľov 9, Červeník",Červeník,Hlohovec,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36090361,"Základná škola s materskou školou s VJM, Tomášikovo 4",Tomášikovo,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36092479,Gymnázium Jána Baltazára Magina,Vrbové,Piešťany,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
36094218,"Základná škola s materskou školou Sándora Petőfiho s VJM, Richterova 1171, Sládkovičovo",Sládkovičovo,Galanta,Trnavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36094234,"Spojená škola, Školská 1087, Sládkovičovo",Sládkovičovo,Galanta,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
36119385,"Nemocnica s poliklinikou Ilava, n. o.",Ilava,Ilava,Trenčiansky,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36125784,"Základná škola s materskou školou, Slovanská 330/23, Púchov",Púchov,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36125938,"Základná škola s materskou školou Václava Mitúcha, Školská 368/2, Horné Srnie",Horné Srnie,Trenčín,Trenčiansky,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36129470,"Materská škola, Poľovnícka 12, Nové Mesto nad Váhom",Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
36129682,"Materská škola, Chmelinec 1411/6, Púchov",Púchov,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
36129691,"Materská škola, Mládežnícka 1438/13, Púchov",Púchov,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
36129712,"Materská škola, Ľ. Štúra 5/5, Beluša",Beluša,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
36130974,"Materská škola, Požiarna 1292/11, Púchov",Púchov,Púchov,Trenčiansky,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
36137430,Súkromná stredná odborná škola Pro scholaris,Žilina,Žilina,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
36158950,"Základná škola, Školská 7/6, Toporec",Toporec,Kežmarok,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
36168165,Fakultná nemocnica AGEL Košice-Šaca a. s.,Košice,Košice I,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36182672,Nemocnica AGEL Krompachy s.r.o.,Krompachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36339865,Nemocnica AGEL Handlová s.r.o.,Handlová,Prievidza,Trenčiansky,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
36348015,Nemocnica AGEL Bánovce s.r.o.,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
