ico,nazov,obec,okres,kraj,lat,lon,sektor,typ_nazov,odpad_kod,odpad,katalogove_cislo_navrh,pravny_status,sezonnost,uroven_dokazu
00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
00168840,"COOP Jednota Galanta, spotrebné družstvo",Galanta,Galanta,Trnavský,48.191057,17.727778,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
00168840,"COOP Jednota Galanta, spotrebné družstvo",Galanta,Galanta,Trnavský,48.191057,17.727778,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
00168840,"COOP Jednota Galanta, spotrebné družstvo",Galanta,Galanta,Trnavský,48.191057,17.727778,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
00168840,"COOP Jednota Galanta, spotrebné družstvo",Galanta,Galanta,Trnavský,48.191057,17.727778,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
00168840,"COOP Jednota Galanta, spotrebné družstvo",Galanta,Galanta,Trnavský,48.191057,17.727778,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
00168874,"COOP Jednota Nitra, spotrebné družstvo",Nitra,Nitra,Nitriansky,48.31257,18.09061,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_ovocie_zelenina,Neupredané ovocie a zelenina z predajní,20 01 08,odpad,celorocne,D
00168874,"COOP Jednota Nitra, spotrebné družstvo",Nitra,Nitra,Nitriansky,48.31257,18.09061,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_pecivo,Neupredané pečivo a pekárske výrobky,02 06 01,vedlajsi_produkt,celorocne,D
00168874,"COOP Jednota Nitra, spotrebné družstvo",Nitra,Nitra,Nitriansky,48.31257,18.09061,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_mliecne,Mliečne výrobky po dátume minimálnej trvanlivosti,20 01 08,odpad,celorocne,D
00168874,"COOP Jednota Nitra, spotrebné družstvo",Nitra,Nitra,Nitriansky,48.31257,18.09061,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_maso_zvysky,Mäsové a údenárske výrobky po dátume spotreby,02 02 03,odpad,celorocne,D
00168874,"COOP Jednota Nitra, spotrebné družstvo",Nitra,Nitra,Nitriansky,48.31257,18.09061,Retail a distribúcia potravín,Spotrebné družstvo (predajne),retail_zmesovy,Zmesový potravinový odpad z predajne,20 01 08,odpad,celorocne,D
