id,nazov,okres,kraj,lat,lon,typ
334,Klokočov,Čadca,Žilinský,49.446206,18.567083,village
335,Bytča,Bytča,Žilinský,49.219738,18.562215,town
336,Ľubotice,Prešov,Prešovský,49.011264,21.276481,village
337,Kalinovo,Poltár,Banskobystrický,48.392041,19.708538,village
338,Ruskov,Košice - okolie,Košický,48.682449,21.432723,village
339,Sľažany,Zlaté Moravce,Nitriansky,48.397,18.329,village
340,Jaslovské Bohunice,Trnava,Trnavský,48.469535,17.650378,village
341,Partizánska Ľupča,Liptovský Mikuláš,Žilinský,49.066667,19.45,village
342,Bratislava - mestská časť Vajnory,Bratislava III,Bratislavský,48.204418,17.206666,suburb
343,Bojná,Topoľčany,Nitriansky,48.583333,18.066667,village
344,Horná Súča,Trenčín,Trenčiansky,48.966667,17.983333,village
345,Zázrivá,Dolný Kubín,Žilinský,49.274927,19.154525,village
346,Belá,Žilina,Žilinský,49.236895,18.943661,village
347,Klátova Nová Ves,Partizánske,Trenčiansky,48.566667,18.3,village
348,Mestečko,Púchov,Trenčiansky,49.166667,18.25,village
349,Budiná,Lučenec,Banskobystrický,48.456112,19.476724,village
350,Poprad - Matejovce,Poprad,Prešovský,49.054152,20.29764,town
351,Stropkov - Bokša,Stropkov,Prešovský,49.202387,21.651153,town
352,Veľké Dvorany,Topoľčany,Nitriansky,48.554552,18.073245,village
353,Hôrka,Poprad,Prešovský,49.01777,20.379659,village
354,Pozdišovce,Michalovce,Košický,48.733333,21.85,village
355,Lúč na Ostrove,Dunajská Streda,Trnavský,47.9775,17.521693,village
356,Oravská Lesná,Námestovo,Žilinský,49.372578,19.205632,village
357,Kochanovce,Bardejov,Prešovský,49.183333,21.383412,village
358,Spišské Bystré,Poprad,Prešovský,48.991455,20.242744,village
359,Hviezdoslavov,Dunajská Streda,Trnavský,48.066938,17.348981,village
360,Senec,Senec,Bratislavský,48.219641,17.396776,town
361,Lieskovec,Humenné,Prešovský,48.95,21.816667,village
362,Lehnice,Dunajská Streda,Trnavský,48.051598,17.457891,village
363,Čerhov,Trebišov,Košický,48.466667,21.65,village
364,Nováky,Prievidza,Trenčiansky,48.714477,18.539765,village
365,Bratislava - mestská časť Jarovce,Bratislava I,Bratislavský,48.153538,17.109671,city
366,Kameničany,Ilava,Trenčiansky,48.992,18.171,village
367,Viničné,Pezinok,Bratislavský,48.269892,17.302281,village
368,Poproč,Košice - okolie,Košický,48.711448,20.976843,village
369,Rozhanovce,Košice - okolie,Košický,48.750798,21.344284,village
370,Udiča,Považská Bystrica,Trenčiansky,49.167563,18.40107,village
371,Bajč,Komárno,Nitriansky,47.923548,18.20814,village
372,Stropkov,Stropkov,Prešovský,49.202387,21.651153,town
373,Spišský Štvrtok,Levoča,Prešovský,49.0,20.466667,village
374,Zlatá Baňa,Prešov,Prešovský,48.95,21.433333,village
375,Moča,Komárno,Nitriansky,47.760018,18.405095,village
376,Čierna nad Tisou,Trebišov,Košický,48.433335,22.100003,village
377,Zemianske Sady,Galanta,Trnavský,48.164293,17.710276,okres_centroid
378,Nemčice,Topoľčany,Nitriansky,48.552617,18.124239,village
379,Plavé Vozokany,Levice,Nitriansky,48.072466,18.467408,village
380,Demandice,Levice,Nitriansky,48.12704,18.782,village
381,Malý Krtíš,Veľký Krtíš,Banskobystrický,48.189639,19.35296,village
382,Trnovec nad Váhom,Šaľa,Nitriansky,48.151216,17.926194,village
383,Bacúch,Brezno,Banskobystrický,48.861528,19.814002,village
384,Lošonec,Trnava,Trnavský,48.483333,17.4,village
385,Terany,Krupina,Banskobystrický,48.183939,18.89834,village
386,Oravská Jasenica,Námestovo,Žilinský,49.390418,19.435844,village
387,Šamorín,Dunajská Streda,Trnavský,48.027583,17.311571,town
388,Stankovany,Ružomberok,Žilinský,49.15,19.183333,village
389,Opatovce nad Nitrou,Prievidza,Trenčiansky,48.765376,18.570538,village
390,Zemianske Kostoľany,Prievidza,Trenčiansky,48.683233,18.526082,village
391,Predmier,Bytča,Žilinský,49.2,18.533333,village
392,Lehota pod Vtáčnikom,Prievidza,Trenčiansky,48.695466,18.600392,village
393,Trstice,Galanta,Trnavský,48.015847,17.804559,village
394,Dolná Breznica,Púchov,Trenčiansky,49.080275,18.261852,village
395,Tekovské Lužany,Levice,Nitriansky,48.097445,18.544241,village
