osm_id,nazov,nazov_norm,okres,kraj,typ,lon,lat
26036386,Pavlice,pavlice,Trnava,Trnavský,village,17.579197,48.258067
26036387,Choňkovce,chonkovce,Sobrance,Košický,village,22.240919,48.779486
26036388,Smrečany,smrecany,Liptovský Mikuláš,Žilinský,village,19.65,49.116667
26036390,Čečehov,cecehov,Michalovce,Košický,village,21.983333,48.733333
26036391,Hrušovany,hrusovany,Topoľčany,Nitriansky,village,18.095942,48.438281
26036392,Švošov,svosov,Ružomberok,Žilinský,village,19.2,49.116667
26036393,Horné Chlebany,horne chlebany,Topoľčany,Nitriansky,village,18.222162,48.604571
26036394,Holumnica,holumnica,Kežmarok,Prešovský,village,20.533333,49.233333
26036395,Čechynce,cechynce,Nitra,Nitriansky,village,18.166667,48.25
26036396,Borčice,borcice,Ilava,Trenčiansky,village,18.133333,48.983333
26036397,Korytné,korytne,Levoča,Prešovský,hamlet,20.85,49.016667
26036398,Michalok,michalok,Vranov nad Topľou,Prešovský,village,21.633333,48.983333
26036399,Kvetoslavov,kvetoslavov,Dunajská Streda,Trnavský,village,17.352638,48.052745
26036400,Chrastince,chrastince,Veľký Krtíš,Banskobystrický,village,19.248881,48.090719
26036401,Jezersko,jezersko,Kežmarok,Prešovský,hamlet,20.333333,49.3
26036402,Bukovec,bukovec,Košice - okolie,Košický,village,21.149304,48.710641
26036403,Žíp,zip,Rimavská Sobota,Banskobystrický,village,20.20214,48.364341
26036404,Lužany pri Topli,luzany pri topli,Svidník,Prešovský,village,21.5,49.116667
26036405,Marianka,marianka,Malacky,Bratislavský,village,17.060008,48.249226
26036406,Fričovce,fricovce,Prešov,Prešovský,village,20.966667,49.016667
26036407,Tekovské Nemce,tekovske nemce,Zlaté Moravce,Nitriansky,village,18.527471,48.355806
26036408,Hrašovík,hrasovik,Košice - okolie,Košický,village,21.322027,48.747276
26036409,Krompachy,krompachy,Spišská Nová Ves,Košický,town,20.873055,48.917127
26036410,Chrabrany,chrabrany,Topoľčany,Nitriansky,village,18.141016,48.529375
26036411,Svätuše,svatuse,Trebišov,Košický,village,21.921678,48.431781
26036412,Kesovce,kesovce,Rimavská Sobota,Banskobystrický,hamlet,20.348567,48.382154
26036413,Rabčice,rabcice,Námestovo,Žilinský,village,19.533333,49.5
26036414,Závadka,zavadka,Prešov,Prešovský,village,21.25,49.15
26036415,Borinka,borinka,Malacky,Bratislavský,village,17.086504,48.262605
26036416,Breznička,breznicka,Stropkov,Prešovský,hamlet,21.7,49.216667
26036417,Michalovce,michalovce,Michalovce,Košický,town,21.933333,48.75
26036418,Helcmanovce,helcmanovce,Gelnica,Košický,village,20.866667,48.833333
26036419,Skalité,skalite,Čadca,Žilinský,town,18.9,49.5
26036420,Vojnatina,vojnatina,Sobrance,Košický,village,22.233333,48.733333
26036421,Šamorín,samorin,Dunajská Streda,Trnavský,town,17.311571,48.027583
26036422,Chvalová,chvalova,Revúca,Banskobystrický,hamlet,20.183489,48.516667
26036423,Uzovská Panica,uzovska panica,Rimavská Sobota,Banskobystrický,village,20.15,48.416667
26036424,Lukačovce,lukacovce,Humenné,Prešovský,village,21.783333,49.033333
26036425,Bačka,backa,Trebišov,Košický,village,22.05,48.433333
26036426,Špania Dolina,spania dolina,Banská Bystrica,Banskobystrický,hamlet,19.133333,48.816667
26036427,Podbiel,podbiel,Tvrdošín,Žilinský,village,19.486427,49.307464
26036428,Dohňany,dohnany,Púchov,Trenčiansky,village,18.286525,49.148024
26036429,Slovenské Krivé,slovenske krive,Humenné,Prešovský,hamlet,22.016667,49.066667
26036430,Roškovce,roskovce,Medzilaborce,Prešovský,village,21.847816,49.239399
26036431,Hokovce,hokovce,Levice,Nitriansky,village,18.870237,48.154631
26036432,Jablonec,jablonec,Pezinok,Bratislavský,village,17.45,48.333333
26036433,Varechovce,varechovce,Stropkov,Prešovský,hamlet,21.8,49.233333
26036434,Lúčka,lucka,Sabinov,Prešovský,village,20.983329,49.183337
26036435,Naháč,nahac,Trnava,Trnavský,village,17.533333,48.533333
26036436,Hradište,hradiste,Partizánske,Trenčiansky,village,18.378717,48.686115
26036437,Liptovská Porúbka,liptovska porubka,Liptovský Mikuláš,Žilinský,village,19.75,49.033333
26036438,Veľké Hoste,velke hoste,Bánovce nad Bebravou,Trenčiansky,village,18.155906,48.679527
26036439,Nižný Orlík,nizny orlik,Svidník,Prešovský,village,21.533333,49.333333
26036440,Zboj,zboj,Snina,Prešovský,village,22.482423,49.028223
26036441,Okoličná na Ostrove,okolicna na ostrove,Komárno,Nitriansky,village,17.91631,47.805604
26036442,Dolinka,dolinka,Veľký Krtíš,Banskobystrický,village,19.156705,48.09038
26036443,Kalinov,kalinov,Medzilaborce,Prešovský,village,21.933333,49.316667
26036444,Ivanice,ivanice,Rimavská Sobota,Banskobystrický,village,20.234957,48.329543
26036445,Macov,macov,Dunajská Streda,Trnavský,hamlet,17.431038,48.020589
26036446,Krušetnica,krusetnica,Námestovo,Žilinský,village,19.35,49.366667
26036447,Majerovce,majerovce,Vranov nad Topľou,Prešovský,village,21.716667,48.9
26036448,Spišská Teplica,spisska teplica,Poprad,Prešovský,village,20.25,49.05
26036449,Nesluša,neslusa,Kysucké Nové Mesto,Žilinský,village,18.75,49.316667
26036450,Chlmec,chlmec,Humenné,Prešovský,village,21.939373,48.886396
26036451,Trnávka,trnavka,Dunajská Streda,Trnavský,village,17.405635,48.013771
26036452,Voznica,voznica,Žarnovica,Banskobystrický,village,18.69885,48.46129
26036453,Oravská Lesná,oravska lesna,Námestovo,Žilinský,village,19.205632,49.372578
26036454,Ostrov,ostrov,Sobrance,Košický,village,22.166667,48.716667
26036455,Šašová,sasova,Bardejov,Prešovský,hamlet,21.45,49.25
26036456,Dedinka,dedinka,Nové Zámky,Nitriansky,village,18.420198,48.079258
26036457,Svit,svit,Poprad,Prešovský,town,20.196529,49.058236
26036458,Veľký Kýr,velky kyr,Nové Zámky,Nitriansky,village,18.155687,48.184342
26036459,Dolná Tižina,dolna tizina,Žilina,Žilinský,village,18.911006,49.22041
26036460,Žaškov,zaskov,Dolný Kubín,Žilinský,village,19.216667,49.166667
26036461,Výborná,vyborna,Kežmarok,Prešovský,village,20.4,49.233333
26036462,Rožňavské Bystré,roznavske bystre,Rožňava,Košický,village,20.442668,48.664275
26036463,Hatné,hatne,Považská Bystrica,Trenčiansky,village,18.383333,49.183333
26036464,Topoľčianky,topolcianky,Zlaté Moravce,Nitriansky,village,18.410113,48.420271
26036465,Košolná,kosolna,Trnava,Trnavský,village,17.464188,48.425335
26036466,Radôstka,radostka,Čadca,Žilinský,village,18.941344,49.331361
26036467,Konská,konska,Liptovský Mikuláš,Žilinský,village,19.716667,49.116667
26036468,Andovce,andovce,Nové Zámky,Nitriansky,village,18.105035,47.99444
26036469,Istebné,istebne,Dolný Kubín,Žilinský,village,19.221751,49.213826
26036471,Záborie,zaborie,Martin,Žilinský,hamlet,18.983333,49.033333
26036472,Ploské,ploske,Košice - okolie,Košický,village,21.325374,48.814443
26036473,Zvončín,zvoncin,Trnava,Trnavský,village,17.505598,48.39994
26036474,Plavecké Podhradie,plavecke podhradie,Malacky,Bratislavský,village,17.261951,48.481793
26036475,Čab,cab,Nitra,Nitriansky,village,18.002955,48.396155
26036476,Turová,turova,Zvolen,Banskobystrický,village,19.052123,48.599579
26036477,Lazany,lazany,Prievidza,Trenčiansky,village,18.622017,48.819215
26036478,Mokrá Lúka,mokra luka,Revúca,Banskobystrický,village,20.15,48.666667
26036479,Čierne Pole,cierne pole,Michalovce,Košický,village,22.083333,48.566667
26036480,Ľubica,lubica,Kežmarok,Prešovský,town,20.446757,49.11926
26036481,Černina,cernina,Humenné,Prešovský,hamlet,21.816667,49.05
26036482,Humenné,humenne,Humenné,Prešovský,town,21.90314,48.934603
26036483,Gočovo,gocovo,Rožňava,Košický,village,20.415629,48.766571
26036484,Horné Plachtince,horne plachtince,Veľký Krtíš,Banskobystrický,hamlet,19.28268,48.238591
26036485,Bodovce,bodovce,Sabinov,Prešovský,village,21.183333,49.116667
26036486,Vyšná Myšľa,vysna mysla,Košice - okolie,Košický,village,21.387443,48.634121
26036487,Tibava,tibava,Sobrance,Košický,village,22.210948,48.738223
26036488,Sokoľany,sokolany,Košice - okolie,Košický,village,21.230262,48.609354
26036489,Medzilaborce,medzilaborce,Medzilaborce,Prešovský,town,21.903965,49.271132
26036490,Veľké Vozokany,velke vozokany,Zlaté Moravce,Nitriansky,village,18.416667,48.316667
