id,producent_id,druh_odpadu_id,t_rok_min,t_rok_stred,t_rok_max,metoda,uroven_dokazu
196,643,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
197,653,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
198,655,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
199,656,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
200,657,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
201,659,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
202,661,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
203,662,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
204,664,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
205,665,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
206,666,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
207,667,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
208,672,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
209,673,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
210,674,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
211,676,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
212,678,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
213,679,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
214,680,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
215,681,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
216,682,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
217,683,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
218,684,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
219,685,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
220,687,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
221,688,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
222,689,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
223,690,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
224,691,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
225,692,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
226,693,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
227,694,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
228,699,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
229,701,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
230,712,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
231,732,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
232,733,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
233,734,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
234,739,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
235,750,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
236,751,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
237,765,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
238,772,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
239,774,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
240,794,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
241,856,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
242,857,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
243,858,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
244,859,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
245,863,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
246,914,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
247,920,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
248,935,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
249,944,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
250,945,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
251,946,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
252,956,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
253,958,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
254,959,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
255,964,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
256,965,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
257,968,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
258,977,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
259,978,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
260,979,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
261,980,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
262,982,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
263,983,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
264,984,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
265,985,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
266,986,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
267,989,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
268,990,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
269,991,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
270,992,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
271,993,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
