ico;nazov;obec;okres;typ_prevadzky;jednotka;hodnota;zdroj
17053871;Stredná odborná škola kaderníctva a vizážistiky;Bratislava - mestská časť Ružinov;Bratislava II;skola_stredna;žiak;;
00617750;Stredná odborná škola obchodu a služieb, Mierová 1973/79, Humenné;Humenné;Humenné;skola_stredna;žiak;;
00617652;Stredná odborná škola obchodu a služieb, Rožňavská Baňa 211, Rožňava;Rožňava;Rožňava;skola_stredna;žiak;;
35564024;Stredná odborná škola pedagogická sv. Cyrila a Metoda;Košice - mestská časť Juh;Košice IV;skola_stredna;žiak;;
00614866;Stredná odborná škola pedagogická sv. Márie Goretti;Čadca;Čadca;skola_stredna;žiak;;
00162833;Stredná odborná škola pedagogická, Bottova 15A, Levoča;Levoča;Levoča;skola_stredna;žiak;;
00162825;Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov;Prešov;Prešov;skola_stredna;žiak;;
00162809;Stredná odborná škola pedagogická, Komenského 12, Lučenec;Lučenec;Lučenec;skola_stredna;žiak;;
00162817;Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice;Turčianske Teplice;Turčianske Teplice;skola_stredna;žiak;;
00162787;Stredná odborná škola pedagogická, Sokolská 6, Modra;Modra;Pezinok;skola_stredna;žiak;;
17053846;Stredná odborná škola podnikania a služieb, Hattalova 968/33, Námestovo;Námestovo;Námestovo;skola_stredna;žiak;;
00159476;Stredná odborná škola podnikania a služieb, Komenského 16, Lipany;Lipany;Sabinov;skola_stredna;žiak;;
00351997;Stredná odborná škola podnikania v remeslách a službách;Senica;Senica;skola_stredna;žiak;;
37947541;Stredná odborná škola polytechnická Jána Antonína Baťu, Svit;Svit;Poprad;skola_stredna;žiak;;
00893692;Stredná odborná škola polytechnická a služieb arm. gen. L. Svobodu;Svidník;Svidník;skola_stredna;žiak;;
00159514;Stredná odborná škola služieb Majstra Pavla;Levoča;Levoča;skola_stredna;žiak;;
37880080;Stredná odborná škola služieb, Košická 20, Prešov;Prešov;Prešov;skola_stredna;žiak;;
42026393;Stredná odborná škola technická, Bratislavská 439/18, Dubnica nad Váhom;Dubnica nad Váhom;Ilava;skola_stredna;žiak;;
37942484;Stredná odborná škola technická, Družstevná 1474/19, Humenné;Humenné;Humenné;skola_stredna;žiak;;
00596868;Stredná odborná škola techniky a služieb, Cintorínska 4, Nitra;Nitra;Nitra;skola_stredna;žiak;;
00893315;Stredná odborná škola techniky a služieb, Pod amfiteátrom 7, Levice;Levice;Levice;skola_stredna;žiak;;
00399388;Stredná odborná škola techniky a služieb, Šahy;Šahy;Levice;skola_stredna;žiak;;
31897959;Súkromná Spojená škola EDUCO, Námestovo;Námestovo;Námestovo;skola_stredna;žiak;;
42102553;Súkromná spojená škola EDURAM, Krompachy;Krompachy;Spišská Nová Ves;skola_stredna;žiak;;
53200349;Súkromná spojená škola Quality Schools International, Šamorín;Šamorín;Dunajská Streda;skola_stredna;žiak;;
53200268;Súkromná spojená škola francúzsko-slovenská, Bratislava;Bratislava - mestská časť Petržalka;Bratislava V;skola_stredna;žiak;;
53255500;Súkromná spojená škola, Klokočov 90;Klokočov;Čadca;skola_stredna;žiak;;
42280885;Súkromná spojená škola, M. Falešníka 6, Prievidza;Prievidza;Prievidza;skola_stredna;žiak;;
36137430;Súkromná stredná odborná škola Pro scholaris;Žilina;Žilina;skola_stredna;žiak;;
11882115;Súkromná stredná odborná škola obchodu a služieb s VJM;Mostová;Galanta;skola_stredna;žiak;;
42422132;Súkromná stredná odborná škola pedagogická EBG;Humenné;Humenné;skola_stredna;žiak;;
30868645;Súkromná stredná odborná škola pedagogická a sociálna;Bratislava - mestská časť Karlova Ves;Bratislava IV;skola_stredna;žiak;;
42114985;Súkromná stredná odborná škola polytechnická DSA;Nitra;Nitra;skola_stredna;žiak;;
47365773;Súkromná stredná odborná škola s.r.o.;Oravský Podzámok;Dolný Kubín;skola_stredna;žiak;;
00686981;Súkromná stredná odborná škola služieb, Hviezdoslavova 11, Bardejov;Bardejov;Bardejov;skola_stredna;žiak;;
42011701;Súkromné gymnázium Banskobystrické;Banská Bystrica;Banská Bystrica;skola_stredna;žiak;;
37939076;Súkromné gymnázium DSA;Bardejov;Bardejov;skola_stredna;žiak;;
30797969;Súkromné gymnázium ESPRIT;Bratislava;Bratislava I;skola_stredna;žiak;;
42152411;Súkromné gymnázium FUTURUM;Trenčín;Trenčín;skola_stredna;žiak;;
45024006;Súkromné gymnázium Kremnica;Kremnica;Žiar nad Hronom;skola_stredna;žiak;;
36063959;Základná škola Albína Brunovského, Obchodná ulica 7, Zohor;Zohor;Malacky;skola_zakladna;žiak;;
37811711;Základná škola Alexandra Dubčeka, Družstevná 11, Martin;Martin;Martin;skola_zakladna;žiak;;
35543752;Základná škola Eugena Ruffinyho, Zimná 190/144, Dobšiná;Dobšiná;Rožňava;skola_zakladna;žiak;;
35995904;Základná škola Jana Amosa Komenského, Komenského 652/50, Púchov;Púchov;Púchov;skola_zakladna;žiak;;
37810421;Základná škola Janka Kráľa, Žiarska 679/13, Liptovský Mikuláš;Liptovský Mikuláš;Liptovský Mikuláš;skola_zakladna;žiak;;
37828851;Základná škola Lajosa Mocsáryho s VJM, Farská lúka 64/B, Fiľakovo;Fiľakovo;Lučenec;skola_zakladna;žiak;;
35991593;Základná škola M. R. Štefánika, Haličská cesta 1191/8, Lučenec;Lučenec;Lučenec;skola_zakladna;žiak;;
35541148;Základná škola Mihálya Helmeczyho s VJM, Hunyadiho 1256/16, Kráľovský Chlmec;Kráľovský Chlmec;Trebišov;skola_zakladna;žiak;;
37810472;Základná škola Miloša Janošku, Ul. čs. brigády 4, Liptovský Mikuláš;Liptovský Mikuláš;Liptovský Mikuláš;skola_zakladna;žiak;;
37836374;Základná škola s VJM - Alapiskola, Rohovce 106;Rohovce;Dunajská Streda;skola_zakladna;žiak;;
37836714;Základná škola s materskou školou Istvána Széchenyiho s VJM, Hlavná 299, Horné Saliby;Horné Saliby;Galanta;skola_zakladna;žiak;;
37863894;Základná škola s materskou školou Juraja Holčeka, Dolný Ohaj;Dolný Ohaj;Nové Zámky;skola_zakladna;žiak;;
37833472;Základná škola s materskou školou Juraja Slávika Neresnického, Dobrá Niva;Dobrá Niva;Zvolen;skola_zakladna;žiak;;
37851888;Základná škola s materskou školou Józsefa Bódisa s VJM, Čenkovce 95;Čenkovce;Dunajská Streda;skola_zakladna;žiak;;
36094218;Základná škola s materskou školou Sándora Petőfiho s VJM, Richterova 1171, Sládkovičovo;Sládkovičovo;Galanta;skola_zakladna;žiak;;
36125938;Základná škola s materskou školou Václava Mitúcha, Školská 368/2, Horné Srnie;Horné Srnie;Trenčín;skola_zakladna;žiak;;
17070503;Základná škola s materskou školou pri zdravotníckom zariadení, Bardejovské kúpele 13;Bardejov;Bardejov;skola_zakladna;žiak;;
37840576;Základná škola s materskou školou s VJM, Mostová 210;Mostová;Galanta;skola_zakladna;žiak;;
36090361;Základná škola s materskou školou s VJM, Tomášikovo 4;Tomášikovo;Galanta;skola_zakladna;žiak;;
31748198;Základná škola s materskou školou s VJM, Vetvárska 7, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_zakladna;žiak;;
31810543;Základná škola s materskou školou, Budmerice 430;Budmerice;Pezinok;skola_zakladna;žiak;;
37866672;Základná škola s materskou školou, Dolný Jatov 189;Jatov;Nové Zámky;skola_zakladna;žiak;;
37990357;Základná škola s materskou školou, Kornela Mahra 11, Trnava;Trnava;Trnava;skola_zakladna;žiak;;
37831291;Základná škola s materskou školou, Krivec 1355, Hriňová;Hriňová;Detva;skola_zakladna;žiak;;
31810268;Základná škola s materskou školou, Kuchyňa 551;Kuchyňa;Malacky;skola_zakladna;žiak;;
37836781;Základná škola s materskou školou, Na výhone 188/16, Moravany nad Váhom;Moravany nad Váhom;Piešťany;skola_zakladna;žiak;;
36090212;Základná škola s materskou školou, Osloboditeľov 9, Červeník;Červeník;Hlohovec;skola_zakladna;žiak;;
30866065;Základná škola s materskou školou, Pernek 285;Pernek;Malacky;skola_zakladna;žiak;;
37874004;Základná škola s materskou školou, Pod papierňou 16A, Bardejov;Bardejov;Bardejov;skola_zakladna;žiak;;
37811894;Základná škola s materskou školou, Podhájska 10A, Martin;Martin;Martin;skola_zakladna;žiak;;
37812009;Základná škola s materskou školou, Priehradná 11, Martin;Martin;Martin;skola_zakladna;žiak;;
36125784;Základná škola s materskou školou, Slovanská 330/23, Púchov;Púchov;Púchov;skola_zakladna;žiak;;
37883658;Základná škola s materskou školou, Smilno 205;Smilno;Bardejov;skola_zakladna;žiak;;
37840657;Základná škola s materskou školou, Smolinské 407;Smolinské;Senica;skola_zakladna;žiak;;
37874217;Základná škola s materskou školou, Spišské Hanušovce 66;Spišské Hanušovce;Kežmarok;skola_zakladna;žiak;;
37810481;Základná škola s materskou školou, Starojánska 11/11, Liptovský Ján;Liptovský Ján;Liptovský Mikuláš;skola_zakladna;žiak;;
31816924;Základná škola s materskou školou, Studienka 222;Studienka;Malacky;skola_zakladna;žiak;;
37840631;Základná škola s materskou školou, Veľký Grob 382;Veľký Grob;Galanta;skola_zakladna;žiak;;
31817025;Základná škola s materskou školou, Vištuk 44;Vištuk;Pezinok;skola_zakladna;žiak;;
53459148;Základná škola s materskou školou, Školská 252, Beladice;Beladice;Zlaté Moravce;skola_zakladna;žiak;;
50005723;Základná škola s materskou školou, Školská 301/16, Turňa nad Bodvou;Turňa nad Bodvou;Košice - okolie;skola_zakladna;žiak;;
37876457;Základná škola s materskou školou, Školská 42/22, Vikartovce;Vikartovce;Poprad;skola_zakladna;žiak;;
31780741;Základná škola, Bieloruská 1, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_zakladna;žiak;;
31748201;Základná škola, Biskupická 21, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_zakladna;žiak;;
53420471;Základná škola, Hlavná ulica 81/42, Miloslavov;Miloslavov;Senec;skola_zakladna;žiak;;
35546484;Základná škola, Mníšek nad Hnilcom 497;Mníšek nad Hnilcom;Gelnica;skola_zakladna;žiak;;
37811860;Základná škola, Nade Hejnej 4, Martin;Martin;Martin;skola_zakladna;žiak;;
37811924;Základná škola, P. Mudroňa 3, Martin;Martin;Martin;skola_zakladna;žiak;;
35543647;Základná škola, Pionierov 1, Rožňava;Rožňava;Rožňava;skola_zakladna;žiak;;
31810276;Základná škola, Plavecký Štvrtok 351;Plavecký Štvrtok;Malacky;skola_zakladna;žiak;;
31745041;Základná škola, Podzáhradná 51, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_zakladna;žiak;;
35564113;Základná škola, SNP 13, Spišské Vlachy;Spišské Vlachy;Spišská Nová Ves;skola_zakladna;žiak;;
37838521;Základná škola, Sasinkova 530/2, Kopčany;Kopčany;Michalovce;skola_zakladna;žiak;;
37840592;Základná škola, Vinohrady nad Váhom 347;Vinohrady nad Váhom;Galanta;skola_zakladna;žiak;;
37874021;Základná škola, Wolkerova 10, Bardejov;Bardejov;Bardejov;skola_zakladna;žiak;;
35546069;Základná škola, Z. Nejedlého 2, Spišská Nová Ves;Spišská Nová Ves;Spišská Nová Ves;skola_zakladna;žiak;;
31754929;Základná škola, Černyševského 8, Bratislava;Bratislava - mestská časť Petržalka;Bratislava V;skola_zakladna;žiak;;
35541253;Základná škola, Školská 339/2, Michaľany;Michaľany;Trebišov;skola_zakladna;žiak;;
